bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
JacksonDatabind_50,JacksonDatabind_50_n9.txt,False,155,1,1,False,True,False,False,False
Gson_12,Gson_12_n6.txt,True,45,2,1,True,True,False,True,False
Gson_12,Gson_12_n1.txt,True,58,2,1,True,True,False,True,False
JacksonXml_6,JacksonXml_6_n10.txt,False,96,1,1,False,True,False,False,False
Math_90,Math_90_n2.txt,False,89,3,1,True,True,False,True,False
Math_90,Math_90_n10.txt,False,60,3,1,True,True,False,True,False
Math_90,Math_90_n9.txt,False,174,3,1,True,True,False,True,False
Math_45,Math_45_n2.txt,False,49,1,1,True,True,False,False,False
Math_45,Math_45_n6.txt,False,46,1,1,True,True,False,False,False
Jsoup_59,Jsoup_59_n1.txt,False,35,1,1,True,False,False,False,False
Jsoup_59,Jsoup_59_n6.txt,True,25,1,1,True,True,False,True,False
Jsoup_59,Jsoup_59_n3.txt,False,35,1,1,True,False,False,False,False
Lang_37,Lang_37_n3.txt,True,57,8,1,True,True,False,True,False
Lang_37,Lang_37_n6.txt,False,42,8,1,True,True,False,True,False
Lang_37,Lang_37_n1.txt,False,70,8,1,True,True,False,True,False
Lang_37,Lang_37_n9.txt,False,33,8,3,True,True,False,True,False
Lang_37,Lang_37_n2.txt,False,43,8,1,True,True,False,True,False
Lang_37,Lang_37_n5.txt,False,70,8,1,True,True,False,True,False
Jsoup_93,Jsoup_93_n4.txt,False,46,1,1,False,False,True,False,False
Jsoup_93,Jsoup_93_n1.txt,False,46,1,1,False,False,True,False,False
Jsoup_67,Jsoup_67_n1.txt,False,72,1,1,True,True,False,False,False
JacksonCore_14,JacksonCore_14_n6.txt,False,75,1,1,False,True,False,False,False
Closure_156,Closure_156_n3.txt,False,12,1,1,True,True,False,False,False
Jsoup_33,Jsoup_33_n10.txt,False,44,1,1,False,False,False,False,False
Gson_18,Gson_18_n8.txt,False,65,4,3,True,True,False,False,False
Gson_18,Gson_18_n2.txt,False,74,4,1,True,True,False,False,False
Gson_18,Gson_18_n6.txt,True,74,1,1,True,True,False,True,False
Math_79,Math_79_n10.txt,True,102,7,2,True,True,False,True,False
Math_79,Math_79_n9.txt,True,101,7,1,True,True,False,True,False
Math_79,Math_79_n1.txt,True,101,7,2,True,True,False,True,False
Math_79,Math_79_n5.txt,True,102,7,1,True,True,False,True,False
Math_79,Math_79_n3.txt,True,101,7,1,True,True,False,True,False
Math_91,Math_91_n7.txt,False,86,1,1,False,False,False,False,False
Cli_30,Cli_30_n10.txt,False,107,1,1,False,False,False,False,False
Lang_39,Lang_39_n8.txt,False,39,10,4,True,True,False,False,False
Lang_39,Lang_39_n4.txt,False,50,10,1,True,True,False,False,False
Lang_39,Lang_39_n5.txt,False,55,10,1,True,True,False,False,False
Lang_39,Lang_39_n9.txt,False,45,10,1,True,True,False,False,False
Lang_39,Lang_39_n6.txt,False,50,10,1,True,True,False,False,False
Lang_39,Lang_39_n3.txt,False,55,10,1,True,True,False,False,False
Lang_39,Lang_39_n1.txt,False,55,10,1,True,True,False,False,False
Lang_6,Lang_6_n8.txt,False,21,10,1,True,True,False,True,False
