bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Gson_12,Gson_12_n4.txt,True,46,3,1,True,True,False,True,False
Gson_12,Gson_12_n7.txt,True,45,3,2,True,True,False,True,False
JacksonXml_6,JacksonXml_6_n10.txt,False,91,3,3,False,True,False,False,False
Math_45,Math_45_n5.txt,False,29,1,1,True,True,False,False,False
Math_45,Math_45_n3.txt,False,50,1,1,True,True,False,False,False
Jsoup_59,Jsoup_59_n8.txt,False,35,3,2,True,False,False,False,False
Jsoup_59,Jsoup_59_n5.txt,False,35,1,1,True,False,False,False,False
Jsoup_59,Jsoup_59_n7.txt,False,35,3,1,True,False,False,False,False
Lang_37,Lang_37_n3.txt,False,33,10,8,True,True,False,True,False
Lang_37,Lang_37_n10.txt,False,70,10,2,True,True,False,True,False
Jsoup_93,Jsoup_93_n10.txt,False,45,2,1,False,False,False,False,False
Jsoup_93,Jsoup_93_n7.txt,False,46,2,2,False,False,True,False,False
Jsoup_93,Jsoup_93_n2.txt,False,50,2,1,False,False,False,False,False
Closure_156,Closure_156_n3.txt,False,12,1,1,True,True,False,False,False
Gson_18,Gson_18_n9.txt,False,74,7,5,True,True,False,False,False
Gson_18,Gson_18_n1.txt,False,74,7,2,True,True,False,False,False
Math_79,Math_79_n1.txt,True,101,4,3,True,True,False,True,False
Math_79,Math_79_n2.txt,True,101,4,1,True,True,False,True,False
Lang_39,Lang_39_n8.txt,False,55,10,10,True,True,False,False,False
Lang_6,Lang_6_n8.txt,True,21,10,10,True,True,False,True,False
Mockito_8,Mockito_8_n10.txt,True,62,10,8,True,True,False,True,False
Mockito_8,Mockito_8_n5.txt,True,59,10,2,True,True,False,True,False
Lang_14,Lang_14_n7.txt,False,151,1,1,False,False,False,False,False
Jsoup_60,Jsoup_60_n1.txt,False,48,3,1,False,True,False,False,False
Jsoup_60,Jsoup_60_n2.txt,False,46,3,1,False,True,False,False,False
Jsoup_60,Jsoup_60_n8.txt,False,53,2,1,False,False,False,False,False
Jsoup_60,Jsoup_60_n6.txt,False,48,3,1,False,True,False,False,False
