bug_id,first_success_rank,total_success_fibs,num_clusters
Chart_5,1,3,3
Chart_9,1,4,4
Cli_23,1,4,7
Cli_5,3,1,4
Closure_27,1,5,5
Closure_75,100000,0,4
Closure_77,100000,0,1
Closure_82,100000,0,3
Codec_12,1,6,7
Codec_13,1,5,8
Codec_17,1,2,3
Codec_3,100000,0,2
Codec_7,1,5,6
Compress_17,100000,0,4
Compress_19,100000,0,2
Compress_38,100000,0,6
Compress_42,100000,0,9
Compress_44,100000,0,3
Compress_46,100000,0,2
Csv_15,100000,0,2
Csv_2,100000,0,2
Gson_7,1,4,4
JacksonCore_12,1,3,3
JacksonCore_19,1,1,1
JacksonCore_20,1,2,2
JacksonCore_5,1,3,3
JacksonCore_8,1,1,5
JacksonCore_9,2,2,6
JacksonDatabind_104,100000,0,7
JacksonDatabind_110,100000,0,1
JacksonDatabind_42,1,5,5
JacksonDatabind_62,1,3,4
JacksonDatabind_68,1,3,5
JacksonDatabind_8,100000,0,4
JacksonDatabind_83,1,3,4
JacksonDatabind_87,100000,0,5
JacksonDatabind_89,100000,0,5
JacksonDatabind_95,1,3,4
Jsoup_14,2,3,6
Jsoup_21,4,1,4
Jsoup_26,1,5,5
Jsoup_29,100000,0,3
Jsoup_31,100000,0,7
Jsoup_35,1,4,9
Jsoup_4,1,4,7
Jsoup_40,1,2,6
Jsoup_42,2,2,4
Jsoup_5,1,3,7
Jsoup_52,100000,0,3
Jsoup_57,1,1,4
Jsoup_58,1,4,6
Jsoup_62,3,2,7
Jsoup_64,100000,0,4
Jsoup_70,4,1,4
Jsoup_71,100000,0,4
Jsoup_72,100000,0,2
Jsoup_74,1,5,5
Jsoup_75,1,5,5
Jsoup_76,100000,0,3
Jsoup_77,1,5,5
Jsoup_79,1,2,3
Jsoup_80,1,2,2
Jsoup_82,1,2,3
Jsoup_83,1,4,7
Jsoup_84,1,2,2
Jsoup_85,100000,0,2
Jsoup_88,2,3,4
Jsoup_93,100000,0,4
JxPath_9,100000,0,2
Lang_1,1,1,1
Lang_13,1,5,6
Lang_17,1,4,5
Lang_18,100000,0,4
Lang_19,1,3,5
Lang_20,1,1,4
Lang_22,2,5,6
Lang_24,1,4,5
Lang_27,2,8,10
Lang_31,1,4,4
Lang_33,1,1,5
Lang_35,100000,0,7
Lang_36,1,2,5
Lang_37,6,1,7
Lang_38,1,1,5
Lang_39,100000,0,6
Lang_40,100000,0,5
Lang_6,1,1,2
Lang_7,100000,0,8
Math_1,1,7,9
Math_105,2,3,4
Math_106,100000,0,5
Math_11,1,5,8
Math_15,100000,0,3
Math_16,2,1,5
Math_2,1,2,7
Math_22,100000,0,3
Math_27,100000,0,5
Math_29,100000,0,3
Math_3,1,2,3
Math_36,100000,0,6
Math_37,1,2,2
Math_43,100000,0,6
Math_45,100000,0,4
Math_47,100000,0,4
Math_48,100000,0,4
Math_49,1,4,7
Math_5,1,4,6
Math_50,100000,0,4
Math_54,1,2,4
Math_55,2,2,6
Math_56,100000,0,2
Math_59,1,6,6
Math_60,2,2,3
Math_63,1,1,2
Math_76,100000,0,3
Math_79,1,9,9
Math_8,1,3,4
Math_89,100000,0,4
Math_90,100000,0,2
Math_92,1,4,6
Math_93,100000,0,6
Math_96,2,4,7
Mockito_10,100000,0,4
Mockito_8,1,2,2
Time_10,1,8,8
Time_12,100000,0,5
Time_13,1,2,5
Time_14,1,4,4
Time_18,1,2,6
Time_19,100000,0,7
Time_5,2,1,5
Time_7,1,2,2
Time_8,1,3,6
