bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Gson_12,Gson_12_n4.txt,True,46,5,5,True,True,False,True,False
Lang_37,Lang_37_n3.txt,False,33,5,5,True,True,False,True,False
JacksonDatabind_88,JacksonDatabind_88_n2.txt,False,45,5,5,False,True,False,False,False
Math_92,Math_92_n3.txt,True,21,5,5,False,False,False,False,False
Lang_22,Lang_22_n1.txt,True,56,5,5,False,False,False,False,False
Math_30,Math_30_n5.txt,False,86,5,5,True,False,False,False,False
Compress_38,Compress_38_n2.txt,False,60,5,5,False,True,False,False,False
Lang_28,Lang_28_n3.txt,False,29,5,5,False,False,False,False,False
Jsoup_35,Jsoup_35_n2.txt,False,96,5,5,True,False,False,False,False
Cli_26,Cli_26_n3.txt,False,43,5,5,True,False,False,False,True
Math_15,Math_15_n4.txt,False,30,5,5,False,False,False,False,False
JacksonDatabind_89,JacksonDatabind_89_n5.txt,False,45,5,5,False,True,False,False,False
Math_49,Math_49_n4.txt,True,115,5,5,True,True,False,False,False
Jsoup_26,Jsoup_26_n4.txt,True,42,5,5,True,True,False,False,False
Math_1,Math_1_n1.txt,True,40,5,5,True,True,False,False,False
Time_13,Time_13_n4.txt,True,23,5,5,False,False,True,False,False
Lang_36,Lang_36_n5.txt,True,17,5,5,False,False,False,False,False
Cli_5,Cli_5_n5.txt,False,22,5,5,True,True,False,True,False
Jsoup_9,Jsoup_9_n4.txt,False,33,5,5,False,False,False,False,False
Jsoup_40,Jsoup_40_n3.txt,True,19,5,5,True,True,False,True,False
Compress_39,Compress_39_n1.txt,False,33,5,5,True,True,False,False,False
Math_99,Math_99_n4.txt,True,33,5,5,False,False,False,False,False
JacksonDatabind_108,JacksonDatabind_108_n5.txt,False,58,5,5,True,False,False,False,False
Compress_17,Compress_17_n2.txt,False,56,5,5,True,True,False,False,False
Math_105,Math_105_n2.txt,True,148,5,5,False,False,False,False,False
Math_76,Math_76_n1.txt,False,114,5,5,True,False,False,False,False
Lang_24,Lang_24_n2.txt,True,17,5,5,False,False,False,False,False
Mockito_10,Mockito_10_n1.txt,False,135,5,5,True,True,False,True,False
JacksonCore_12,JacksonCore_12_n3.txt,True,151,5,5,False,False,False,False,False
Math_43,Math_43_n3.txt,False,72,5,5,False,False,True,False,False
JacksonCore_19,JacksonCore_19_n1.txt,True,89,5,5,True,True,False,True,False
JacksonDatabind_17,JacksonDatabind_17_n4.txt,False,141,5,5,True,False,False,False,False
Jsoup_65,Jsoup_65_n2.txt,False,62,5,5,False,True,False,False,False
Cli_40,Cli_40_n1.txt,True,41,5,5,False,False,False,False,False
Math_26,Math_26_n2.txt,False,76,5,5,True,False,False,False,False
Time_15,Time_15_n5.txt,False,31,5,5,True,False,False,False,False
Time_20,Time_20_n2.txt,False,120,5,5,True,True,False,False,False
Chart_9,Chart_9_n1.txt,True,200,5,5,True,True,False,True,False
Math_59,Math_59_n2.txt,True,22,5,5,False,False,True,False,False
Jsoup_12,Jsoup_12_n3.txt,True,43,5,5,True,True,False,False,False
Csv_5,Csv_5_n3.txt,False,66,5,5,False,False,True,False,False
Lang_6,Lang_6_n5.txt,True,21,5,5,True,True,False,True,False
Jsoup_59,Jsoup_59_n5.txt,False,35,5,5,True,False,False,False,False
Math_29,Math_29_n3.txt,False,80,5,5,False,False,False,False,False
Cli_29,Cli_29_n5.txt,True,24,5,5,False,False,True,False,False
JacksonDatabind_85,JacksonDatabind_85_n4.txt,False,59,1,5,False,False,False,False,False
Jsoup_77,Jsoup_77_n2.txt,True,96,5,5,False,False,True,False,False
Math_35,Math_35_n2.txt,False,53,5,5,False,False,False,False,False
Gson_1,Gson_1_n4.txt,False,197,5,5,False,False,False,False,False
Time_10,Time_10_n4.txt,True,95,5,5,True,True,False,False,False
JacksonDatabind_87,JacksonDatabind_87_n1.txt,False,58,5,5,False,False,False,False,False
JacksonCore_8,JacksonCore_8_n2.txt,False,62,5,5,False,False,False,False,False
Math_48,Math_48_n3.txt,False,72,5,5,False,True,False,False,False
Lang_1,Lang_1_n4.txt,True,24,5,5,False,True,False,False,False
Time_18,Time_18_n5.txt,False,68,5,5,True,True,False,True,False
Lang_23,Lang_23_n3.txt,False,40,5,5,False,False,False,False,False
JacksonDatabind_92,JacksonDatabind_92_n3.txt,False,45,5,5,False,True,False,False,False
Jsoup_62,Jsoup_62_n5.txt,False,100,5,5,False,False,False,False,False
Math_11,Math_11_n2.txt,True,56,5,5,False,False,False,False,False
Compress_44,Compress_44_n5.txt,False,24,5,5,True,True,False,True,False
Time_19,Time_19_n4.txt,False,105,5,5,False,False,True,False,False
Lang_35,Lang_35_n2.txt,False,36,5,5,True,True,False,True,False
Jsoup_72,Jsoup_72_n2.txt,False,22,5,5,True,True,False,False,False
Jsoup_71,Jsoup_71_n5.txt,False,61,5,5,False,True,False,False,False
Math_54,Math_54_n3.txt,False,47,5,5,False,False,False,False,False
Jsoup_83,Jsoup_83_n1.txt,True,43,5,5,False,False,False,False,False
Jsoup_56,Jsoup_56_n1.txt,True,51,5,5,False,False,False,False,False
Gson_5,Gson_5_n5.txt,False,40,5,5,True,True,False,True,False
JacksonDatabind_102,JacksonDatabind_102_n2.txt,False,67,5,5,False,False,False,False,False
Jsoup_39,Jsoup_39_n2.txt,False,38,5,5,False,False,False,False,False
Closure_173,Closure_173_n5.txt,False,42,5,5,False,False,False,False,False
Jsoup_38,Jsoup_38_n2.txt,True,65,5,5,False,True,False,False,False
Jsoup_74,Jsoup_74_n1.txt,True,42,5,5,False,False,False,False,False
Math_22,Math_22_n2.txt,False,94,5,5,False,False,False,False,False
Jsoup_75,Jsoup_75_n1.txt,True,38,5,5,False,False,False,False,False
Math_47,Math_47_n2.txt,False,65,5,5,False,False,False,False,False
Jsoup_25,Jsoup_25_n1.txt,False,47,5,5,False,False,False,False,False
JacksonDatabind_42,JacksonDatabind_42_n4.txt,True,68,5,5,False,False,True,False,False
Math_50,Math_50_n4.txt,False,72,5,5,False,True,False,False,False
Compress_46,Compress_46_n5.txt,False,43,5,5,False,True,False,False,False
Lang_13,Lang_13_n1.txt,True,39,5,5,True,True,False,False,False
Jsoup_30,Jsoup_30_n4.txt,False,35,5,5,True,False,False,False,False
JacksonCore_7,JacksonCore_7_n3.txt,False,62,5,5,True,True,False,False,False
Jsoup_5,Jsoup_5_n2.txt,False,33,5,5,True,True,False,True,False
Cli_23,Cli_23_n1.txt,False,78,5,5,True,True,False,False,False
Lang_27,Lang_27_n5.txt,True,29,5,5,True,True,False,True,False
Math_5,Math_5_n5.txt,False,48,5,5,False,False,True,False,False
Compress_29,Compress_29_n1.txt,False,64,5,5,False,True,False,False,False
JacksonDatabind_82,JacksonDatabind_82_n3.txt,False,173,5,5,False,True,False,False,False
JacksonDatabind_104,JacksonDatabind_104_n2.txt,False,136,5,5,True,True,False,True,False
Jsoup_31,Jsoup_31_n3.txt,False,41,5,5,False,False,True,False,False
Jsoup_17,Jsoup_17_n5.txt,False,35,5,5,False,False,False,False,False
JacksonDatabind_68,JacksonDatabind_68_n4.txt,True,140,5,5,True,True,False,False,False
Math_55,Math_55_n3.txt,False,79,5,5,False,False,False,False,False
Codec_7,Codec_7_n1.txt,True,24,5,5,False,False,True,False,False
Gson_14,Gson_14_n5.txt,False,44,5,5,True,True,False,True,False
Lang_31,Lang_31_n3.txt,True,91,5,5,False,False,True,False,False
Math_106,Math_106_n5.txt,False,112,5,5,False,False,True,False,False
JacksonCore_9,JacksonCore_9_n5.txt,True,61,5,5,False,False,True,False,False
Closure_75,Closure_75_n1.txt,False,21,5,5,True,True,False,False,False
Closure_77,Closure_77_n5.txt,False,30,5,5,False,False,True,False,False
Codec_3,Codec_3_n2.txt,False,63,5,5,False,False,True,False,False
Mockito_8,Mockito_8_n1.txt,True,62,5,5,True,True,False,True,False
Jsoup_55,Jsoup_55_n2.txt,False,49,5,5,False,False,False,False,False
JacksonDatabind_95,JacksonDatabind_95_n5.txt,True,42,5,5,True,True,False,False,False
JacksonDatabind_56,JacksonDatabind_56_n5.txt,False,58,5,5,False,True,False,False,False
Time_7,Time_7_n4.txt,True,88,5,5,False,True,False,False,False
Closure_27,Closure_27_n1.txt,True,82,5,5,True,True,False,False,False
Jsoup_34,Jsoup_34_n4.txt,False,38,5,5,True,False,False,False,False
Codec_17,Codec_17_n2.txt,True,19,5,5,False,True,False,False,False
Math_12,Math_12_n1.txt,False,103,5,5,False,False,False,False,False
Math_93,Math_93_n1.txt,False,44,5,5,False,False,False,False,False
Codec_9,Codec_9_n3.txt,False,39,5,5,True,False,False,False,False
Jsoup_64,Jsoup_64_n1.txt,True,33,5,5,False,False,False,False,False
Csv_15,Csv_15_n2.txt,False,77,5,5,False,False,True,False,False
Jsoup_82,Jsoup_82_n1.txt,True,45,5,5,True,True,False,True,False
Math_2,Math_2_n2.txt,False,54,2,2,True,False,False,False,False
Lang_19,Lang_19_n5.txt,True,19,5,5,True,True,False,True,False
Codec_13,Codec_13_n2.txt,False,34,5,5,True,True,False,True,False
JacksonDatabind_83,JacksonDatabind_83_n3.txt,True,106,5,5,True,True,False,True,False
Math_77,Math_77_n4.txt,False,37,5,5,False,False,False,False,False
JacksonCore_14,JacksonCore_14_n3.txt,False,56,5,5,False,True,False,False,False
Lang_38,Lang_38_n1.txt,True,81,5,5,False,False,False,False,False
JacksonDatabind_46,JacksonDatabind_46_n4.txt,False,54,5,5,False,False,False,False,False
Time_16,Time_16_n2.txt,False,65,5,5,False,True,False,False,False
JacksonDatabind_40,JacksonDatabind_40_n3.txt,True,57,5,5,True,False,False,False,False
Math_8,Math_8_n4.txt,True,99,5,5,True,True,False,False,False
Math_60,Math_60_n4.txt,True,83,5,5,True,False,False,False,False
JacksonDatabind_64,JacksonDatabind_64_n1.txt,True,74,5,5,False,False,False,False,False
Csv_2,Csv_2_n2.txt,False,59,5,5,True,True,False,False,False
Gson_7,Gson_7_n1.txt,True,80,5,5,False,True,False,False,False
Jsoup_58,Jsoup_58_n5.txt,False,121,5,5,False,False,True,False,False
Codec_12,Codec_12_n5.txt,True,55,5,5,False,False,True,False,False
Jsoup_93,Jsoup_93_n3.txt,False,50,5,5,False,False,False,False,False
JacksonXml_1,JacksonXml_1_n4.txt,False,114,5,5,False,True,False,False,False
Lang_39,Lang_39_n2.txt,False,55,5,5,True,True,False,False,False
Jsoup_47,Jsoup_47_n1.txt,False,53,5,5,False,False,False,False,False
Lang_8,Lang_8_n2.txt,False,58,1,5,False,False,False,False,False
Lang_17,Lang_17_n4.txt,True,31,5,5,False,False,False,False,False
Jsoup_80,Jsoup_80_n4.txt,True,30,5,5,True,True,False,True,False
JacksonDatabind_26,JacksonDatabind_26_n4.txt,False,77,4,5,False,True,False,False,False
Compress_20,Compress_20_n2.txt,False,57,5,5,True,True,False,False,False
Csv_10,Csv_10_n5.txt,False,59,5,5,False,False,True,False,False
JacksonCore_5,JacksonCore_5_n2.txt,True,28,5,5,True,True,False,False,False
Time_12,Time_12_n5.txt,False,105,5,5,False,False,False,False,False
Time_14,Time_14_n4.txt,True,50,5,5,True,True,False,True,False
Gson_18,Gson_18_n2.txt,False,74,5,5,True,True,False,False,False
Compress_42,Compress_42_n5.txt,False,79,5,5,False,True,False,False,False
Compress_15,Compress_15_n4.txt,False,66,5,5,False,True,False,False,False
Math_16,Math_16_n4.txt,True,45,5,5,True,False,False,False,False
Math_27,Math_27_n1.txt,False,91,5,5,True,False,False,False,False
Jsoup_4,Jsoup_4_n1.txt,True,35,5,5,False,False,True,False,False
